85|13314|1|Heveya Natural Organic Latex Mattress I -  Super King  (W200cm x L200cm) - Medium|1|Pcs|1|0||warehouse||prepared|
86|13314|2|Heveya Natural Organic Latex Pillow - (70cm x 40cm x 14.5cm) - Heveya 2|1|Pcs|0|1||showroom||prepared|TBC
87|13335|1|Heveya Natural Organic Latex Mattress III - Custom Size (W193cm x L203cm) - Firm|1|Pcs|1|0||showroom||prepared|193 x 203
88|13335|2|Heveya Natural Organic Latex Pillow - (70cm x 40cm x 12.5cm) - Heveya 4|2|Pcs|1|1||showroom||prepared|
89|13350|1|Heveya Natural Organic Latex Mattress III - Super King (W200cm x L200cm) - Soft.|1|Pcs|1|0||showroom||prepared|
90|13356|1|Heveya Hospitality Mattress - King (W180cm x L200cm)|12|Pcs|4|8||warehouse||prepared|
91|13356|2|Heveya Natural Organic Latex  Topper - King (W180cm x L200cm) - Soft|12|Pcs|4|8||warehouse||prepared|
92|13356|3|Heveya Natural Organic Latex Pillow - (70cm x 40cm x 10cm) - Heveya 1|24|Pcs|6|18||warehouse||prepared|
93|13356|4|Heveya Natural Organic Latex Pillow - (70cm x 40cm x 14.5cm) - Heveya 2|24|Pcs|6|18||warehouse||prepared|
94|13356|5|Heveya Natural Organic Latex Pillow - (70cm x 40cm x 9/11.5cm) - Heveya 3|4|Pcs|4|0||showroom||prepared|
95|13356|6|Heveya Natural Organic Latex Pillow - (70cm x 40cm x 12.5cm) - Heveya 4|4|Pcs|0|4||showroom||prepared|
96|13356|7|Heveya Natural Organic Latex Bolster - ( L92cm x ø22cm)|2|Pcs|0|2||showroom||prepared|
97|13356|8|Heveya Natural Organic Latex Bolster - ( L92cm x ø22cm)|2|Pcs|0|2||showroom||prepared|
98|13366|1|Heveya Natural Organic Latex Mattress III - Super King (W200cm x L200cm) - Medium/Firm|1|Pcs|0|1||pending_wh||prepared|
99|13366|2|Heveya Natural Organic Latex Pillow - (70cm x 40cm x 12.5cm) - Heveya 4|2|Pcs|0|2||pending_wh||prepared|
100|13363|1|Bamboo Bundle Fitted Sheet Set + 2 Pillow Cases - Custom Size (W240cm x L210cm) - Sand|1|Set|1|0||||prepared|
101|13363|2|Bamboo Duvet Sheet Set + 2 Pillow Cases - Custom Size (290cm x 330cm) - Sand|1|Set|1|0||||prepared|
102|13363|3|Heveya Sheet Bags|1|Pcs|1|0||||prepared|
103|12644|1|Heveya Natural Organic Latex Mattress III - Family Mattress ( 270cm x 210) - Medium/Firm|1|Pcs|0|1||showroom||prepared|
104|12644|2|Heveya Natural Organic Latex Mattress III - King (W180cm x L200cm) - Soft/Medium|1|Pcs|0|1||showroom||prepared|
105|12644|3|Heveya Natural Organic Latex Mattress II - Queen (W160cm x L200cm) - Medium|1|Pcs|0|1||showroom||prepared|
106|12644|4|Heveya Natural Organic Latex Mattress III - Custom Size (W120cm x L200cm) - Medium|1|Pcs|0|1||showroom||prepared|Size TBC
107|12644|5|Heveya Natural Organic Latex Bolster - ( L92cm x ø22cm)|4|Pcs|0|4||showroom||prepared|
108|12644|6|Heveya Natural Organic Latex Pillow - (70cm x 40cm x 14.5cm) - Heveya 2|1|Pcs|0|1||showroom||prepared|
109|12644|7|Heveya Natural Organic Latex Pillow - (70cm x 40cm x 14.5cm) - Heveya 2|2|Pcs|0|2||showroom||prepared|
110|12644|8|Heveya Natural Organic Latex Pillow - (70cm x 40cm x 10cm) - Heveya 1|3|Pcs|0|3||showroom||prepared|
